Mice were kept on a 12-h light/dark cycle with freewater and standard food,Mice were kept on a 12-h light/dark cycle with freewater and standard food,TRUE,TRUE,40090fa0-6946-4076-ba23-9c5b699a5c6e,,Mice were kept on a 12-h light/dark cycle with freewater and standard food,Mice were kept on a 12-h light/dark cycle with freewater and standard food,TRUE
Mice were main- tained on a constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,Mice were main- tained on a constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,TRUE,TRUE,7faa52e0-6c96-4611-92ae-5e938b1af4f7,,Mice were main- tained on a constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,Mice were main- tained on a constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,TRUE
Mice were raised at a controlled temperature under a 12-hour light-dark cycle. Freshwater and enough food were available to mice.,Mice were raised at a controlled temperature under a 12-hour light-dark cycle. Freshwater and enough food were available to mice.,TRUE,TRUE,cf210ee3-a04e-4036-a0d9-238e7caf7a06,,Mice were raised at a controlled temperature under a 12-hour light-dark cycle. Freshwater and enough food were available to mice.,Mice were raised at a controlled temperature under a 12-hour light-dark cycle. Freshwater and enough food were available to mice.,TRUE
The animals were housed in an air-conditioned (22 ± 1C) environment with 45%–55% humidity and a 12-h alternat- ing light–dark cycle. Standard lab feed and water were given ad libitum.,The animals were housed in an air-conditioned (22 ± 1C) environment with 45%–55% humidity and a 12-h alternat- ing light–dark cycle. Standard lab feed and water were given ad libitum.,TRUE,TRUE,487d51c4-eb75-4458-bfb2-e038b743a4ce,,The animals were housed in an air-conditioned (22 ± 1C) environment with 45%–55% humidity and a 12-h alternat- ing light–dark cycle. Standard lab feed and water were given ad libitum.,The animals were housed in an air-conditioned (22 ± 1C) environment with 45%–55% humidity and a 12-h alternat- ing light–dark cycle. Standard lab feed and water were given ad libitum.,TRUE
the mice were fed standard laboratory chow and supplied with drinking water ad libitum,the mice were fed standard laboratory chow and supplied with drinking water ad libitum,TRUE,TRUE,5af257e3-1c25-4e41-9d7b-4e017fb5b981,,the mice were fed standard laboratory chow and supplied with drinking water ad libitum,the mice were fed standard laboratory chow and supplied with drinking water ad libitum,TRUE
"The mice were kept under controlled environmental conditions (12 h dark/light cycle, 23 ± 1˚C, 55 ± 5% relative humidity), and free access to food (Altromin, Germany) and water. ","The mice were kept under controlled environmental conditions (12 h dark/light cycle, 23 ± 1˚C, 55 ± 5% relative humidity), and free access to food (Altromin, Germany) and water. ",TRUE,TRUE,4e20f054-08ef-4296-994e-6ca213e76698,,"The mice were kept under controlled environmental conditions (12 h dark/light cycle, 23 ± 1˚C, 55 ± 5% relative humidity), and free access to food (Altromin, Germany) and water. ","The mice were kept under controlled environmental conditions (12 h dark/light cycle, 23 ± 1˚C, 55 ± 5% relative humidity), and free access to food (Altromin, Germany) and water. ",TRUE
under a pathogen-free condition at about 22 °C on a 12 h light–dark cycle with free access to food and water,under a pathogen-free condition at about 22 °C on a 12 h light–dark cycle with free access to food and water,TRUE,TRUE,e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,,under a pathogen-free condition at about 22 °C on a 12 h light–dark cycle with free access to food and water,under a pathogen-free condition at about 22 °C on a 12 h light–dark cycle with free access to food and water,TRUE
were kept at room temperature (22 ± 1 °C) and in a 12 h day/night cycle (humidity: 60 ± 5%). Animals were free to access to food and water,were kept at room temperature (22 ± 1 °C) and in a 12 h day/night cycle (humidity: 60 ± 5%). Animals were free to access to food and water,TRUE,TRUE,ef45a356-7026-45c3-ab9c-6d94465bb727,,were kept at room temperature (22 ± 1 °C) and in a 12 h day/night cycle (humidity: 60 ± 5%). Animals were free to access to food and water,were kept at room temperature (22 ± 1 °C) and in a 12 h day/night cycle (humidity: 60 ± 5%). Animals were free to access to food and water,TRUE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,TRUE,,,,,
