StudyIdStr,AnnotatorIdStr,GreaterIsWorse,Units,AverageType,NumberOfAnimals,ErrorType,Experiment,Time,Average,Error,Which.type.of.outcome.was.assessed.,ModelLabel,Vehicle.control.,SAH.Grading.System,Diameter.measurement.method,Reconciled.vehicle.control,Reconciled.SAH.grading.system,Reconciled.diameter.measurement.method,Reconciled.Vessel.for.diameter.assessment,Reconciled.Side.of.Vessel.for.diameter.assessment,intubation,strain,postsurgical treatment,ICP monitoring,filament size,type of anesthesia,Singe/Group cage,12-hour light-dark cycle,free access to food and water,controlled humidity,controlled temperature,temperature (�C),humidity (%),injetive_anesthetic_substance,injetive_anesthetic_dose,Inhalative anesthesiea Substance,Isoflurane Induction,Isoflurane Maintenance,Inhalative Anesthesia O2/N2-Mixture,Inhalative Anesthesia Flow,material,lenght,diameter,sharpened tip,blunted tip,monofilament,suture,location_perforation,side_location_perforation,age_median,age_plus_minus,weight_median,weight_plus_minus,surgery_duration,subtance_postsurgical_treatment,vessel_entry_perforation,side_entry_perforation,deaths
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0,TIMO,TRUE,%,Mean,37,,A,1,18.9189189189189,,Mortality rate (%),SAH,,,,,,,,,no,C57/BL6N,TRUE,not reported,5-0,Inhalative,group cage,,,,x,24,NA,NA,NA,Isoflurane,2.00%,1.50%,50/50,2 L/min,Nylon,NA,5-0,,x,x,x,Bifurcation of ICA and MCA,,9,0,23.5,2.5,NA,Saline,ECA,,7
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,TIMO,TRUE,%,Mean,28,,A,1,28.6,,Mortality rate (%),SAH,Saline,,,0.9% NaCl / Saline,,,,,not reported,C57/BL6J,FALSE,not reported,5-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Prolene,NA,5-0,,,,,ACA,right,11,1,NA,NA,NA,,ECA,right,8
7e7d3286-31d1-4376-8373-8445a381b577,TIMO,TRUE,%,Mean,29,,D,1,17.2413793103448,,Mortality rate (%),SAH,Saline,,,0.9% NaCl / Saline,,,,,no,C57/BL6J,FALSE,not reported,5-0,Inhalative,not reported whether single or group cage,x,x,x,x,NA,NA,NA,NA,Isoflurane,3-4%,1-1.5%,,,,NA,5-0,,,,,Bifurcation of ACA and MCA,,10,2,20,2,NA,,ECA,right,5
7faa52e0-6c96-4611-92ae-5e938b1af4f7,TIMO,TRUE,%,Mean,15,,A,1,26.6666666666667,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,FALSE,not reported,4-0,Injective,not reported whether single or group cage,x,x,x,x,NA,NA,Tribromoethanol ,250 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ACA and MCA,left,11,1,27.5,2.5,NA,,ECA,left,4
971d93e5-4b91-4cdc-884d-1069d7400db7,TIMO,TRUE,%,Mean,15,,A,1,13.3333333333333,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,TRUE,not reported,5-0,Injective,not reported whether single or group cage,,x,,x,21,NA,Ketamin and Xylazine,"Ketamin (10 mg/kg), Xylazine (5 mg/kg)",NA,NA,NA,NA,NA,Nylon,20,5-0,,x,x,x,Bifurcation of ICA,,,NA,24.5,1.5,NA,Buprenorphine,ECA,left,2
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,TIMO,TRUE,%,Mean,14,,A,1,7.14285714285714,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6J,FALSE,not reported,not reported,Not reported,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,not reported,,,NA,23,2,NA,,,,1
e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,TIMO,TRUE,%,Mean,35,,A,1,20,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6J,FALSE,not reported,4-0,Injective,not reported whether single or group cage,x,x,,,22,NA,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,4-0,x,,x,x,Bifurcation of ACA and MCA,,NA,NA,23.5,1.5,NA,,ECA,left,7
ef45a356-7026-45c3-ab9c-6d94465bb727,TIMO,TRUE,%,Mean,36,,D,1,16.6666666666667,,Mortality rate (%),SAH,corn oil,,,corn oil,,,,,not reported,C57/BL6J,FALSE,not reported,not reported,Injective,not reported whether single or group cage,x,x,x,x,22,60,Sodium Pentorbital,50 mg/kg,NA,NA,NA,NA,NA,Nylon,NA,,x,,,x,Bifurcation of ACA and MCA,,,NA,22.5,2.5,NA,,ECA,,6
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,TIMO,TRUE,%,Mean,41,,C,1,34.1463414634146,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6,FALSE,not reported,4-0,Injective,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,Tribromoethanol ,250 mg/kg,NA,NA,NA,NA,NA,,NA,4-0,x,,x,,Bifurcation of ACA and MCA,,11,1,27.5,2.5,NA,,ECA,left,14
f068ccce-fdb6-4e46-8644-69d64f427305,TIMO,TRUE,%,Mean,21,,A,1,29,,Mortality rate (%),SAH,,,,,,,,,yes,C57/BL6,TRUE,yes,5-0,Injective,not reported whether single or group cage,x,x,,,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,,NA,5-0,,,x,,Bifurcation of ICA and MCA,,14,1,27.5,3.5,NA,Buprenorphine,ECA,,6
f0846ef5-5cfe-4481-a655-5b3b63d47e49,TIMO,TRUE,%,Mean,30,,A,1,13.3333333333333,,Mortality rate (%),SAH,,,,,,,,,not reported,C57/BL6J,FALSE,not reported,5-0,Inhalative,not reported whether single or group cage,NA,NA,NA,NA,NA,NA,NA,NA,Isoflurane,,,,,Nylon,NA,5-0,,,x,x,not reported,,21.73,4.35,NA,NA,NA,,ECA,,4
