ProjectId,StudyId,Author,Year,ExperimentID,CohortId,InferredSham,ModelType,ModelID,InterventionType,InterventionID,NumberOfAnimals,OutcomeId,TypeOfOutcomeResult,GreaterIsWorse,OutcomeResult,OutcomeError,ErrorType,TimeInMinute,AnnotatorIdStr,DateTimeCreated,Reconciled,Units,idStr,StageIdStr,StudyLabel,Was the size of the filament used for perforation model reported?,Was the perforation entry point reported?,Were the mice intubated?,Which mouse strain was used?,What are the information on mice sex?,Was the location of perforation reported?,Were any methods to reduce postsurgical pain/stress of mice reported,Was intracranial pressure montitored?,Did they use a sham group?,What was the size of the filament used for perforation model?,How were the mice anaesthetised?,What was the number of mice in untreated control group?,How were the animal housing conditions described?,Were animals with immunodepression used for experiments?,Is SAH grade reported?,Which intravenous anaesthetic was used?,How were the other animal housing conditions described?,Which filament was used for perforation model?,Corresponding authors name,Where was the location of perforation?,What is the age of the mice?,Is the age of the mice reported?,Which other anaesthetical procedure was used?,Which intervention was tested?,Which other filament type was used for perforation model?,How was the weight of the mice?,Were information about mouse sex given?,Corresponding author email,Which inhalative anaesthetic was used?,Was the duration of surgical treatment of perforation reported?,What is the number of mice in the sham group?,Which methods to reduce postsurgical pain/stress of mice were used?,Was the number of mice in the untreated control group reported?,Was the number of mice in the sham group reported?,Mouse strain reported?,How long was the duration of surgical treatment of perforation?,Were information about the weight of the mice given?,Where was the perforation entry point?,ExperimentLabel,Experiment label?,How was the timepoint of outcome assessment specified?,CohortLabel,Cohort label?,Number of animals in cohort,OutcomeLabel,Outcome measure average type,Which type of outcome was assessed?,Greater is worse.,Outcome measure units,Outcome measure error type,Outcome assessment procedure label?,ModelLabel,Disease model induction procedure label?,InterventionLabel,Treatment procedure label?
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,bf00f865-746a-43b1-89e4-b7cb252a7d1e,46d7001c-7d1b-4b14-9e10-a90115e96a30,,model,82260288-c873-48b6-a64e-b3c00acd012c,intervention,c7d2e72a-f673-4644-b603-a81f234e9980,16,16dfbea8-5182-4011-a642-995902fa5395,mean,TRUE,6.25,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-21 09:23:52,FALSE,%,17525b57-9b2f-4dec-9ff4-41f3cf5af278,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,male,TRUE,FALSE,not reported,TRUE,5-0,Inhalative,19,group,no,TRUE,,,uncoated,Umeshkumar Athiraman, ICA bifurcation,10-14 weeks,TRUE,,isoflurane concentration,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,18,,TRUE,TRUE,TRUE,,FALSE,ECA,mortality SAH 2,mortality SAH 2,,SAH 2,SAH 2,16,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,1% of isoflurane inhalation,1% of isoflurane inhalation
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,426823ee-a7fe-4bed-998d-0d755190ccb9,4a35f920-71bf-4484-8560-d5a27874ac27,,model control,c0f5db5a-3f85-4d1a-90cf-d94e012fa575,intervention control,24d13841-cf1f-4c9b-a113-a6a6cebc7951,18,16dfbea8-5182-4011-a642-995902fa5395,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-21 09:23:52,FALSE,%,9aff5d3f-4606-4615-9ef9-9bc1b1ad6ae4,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,male,TRUE,FALSE,not reported,TRUE,5-0,Inhalative,19,group,no,TRUE,,,uncoated,Umeshkumar Athiraman, ICA bifurcation,10-14 weeks,TRUE,,isoflurane concentration,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,18,,TRUE,TRUE,TRUE,,FALSE,ECA,mortality SHAM,mortality SHAM,,SHAM,SHAM,18,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,Sham,Sham,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,1b97f587-fa1e-46b9-a1fb-9d068c2f79a9,5591e7fd-75f3-44e9-be6a-b974763817ce,,model,82260288-c873-48b6-a64e-b3c00acd012c,intervention control,24d13841-cf1f-4c9b-a113-a6a6cebc7951,19,16dfbea8-5182-4011-a642-995902fa5395,mean,TRUE,10.52,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-21 09:23:52,FALSE,%,81da71b4-a0e7-441f-96c7-403ef4b4e45b,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,male,TRUE,FALSE,not reported,TRUE,5-0,Inhalative,19,group,no,TRUE,,,uncoated,Umeshkumar Athiraman, ICA bifurcation,10-14 weeks,TRUE,,isoflurane concentration,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,18,,TRUE,TRUE,TRUE,,FALSE,ECA,mortality SAH,mortality SAH,,SAH,SAH,19,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,52ad4e29-dd81-4231-bd5c-2ce4d7f29236,abcf9e41-75b7-433f-8691-4f3284fd290b,,model,82260288-c873-48b6-a64e-b3c00acd012c,intervention,66b13912-c52b-433c-980c-569cfd1727ee,14,16dfbea8-5182-4011-a642-995902fa5395,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-21 09:23:52,FALSE,%,7517dc5e-e3dc-4927-9349-68599362d929,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,male,TRUE,FALSE,not reported,TRUE,5-0,Inhalative,19,group,no,TRUE,,,uncoated,Umeshkumar Athiraman, ICA bifurcation,10-14 weeks,TRUE,,isoflurane concentration,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,18,,TRUE,TRUE,TRUE,,FALSE,ECA,mortality SAH 1,mortality SAH 1,,SAH 1,SAH 1,14,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,0.5% of isoflurane inhalation,0.5% of isoflurane inhalation
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,6ed460b5-7e01-44fb-8b11-c79aed02b964,59de562f-940f-4808-bd1e-0360a8be35cb,,model,82260288-c873-48b6-a64e-b3c00acd012c,intervention,bbcf753f-05c8-44f8-a55b-9a673909dc7f,15,16dfbea8-5182-4011-a642-995902fa5395,mean,TRUE,13.33,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-21 09:23:52,FALSE,%,3ef63ebb-6c99-4315-b9db-b75587014f3b,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6J,male,TRUE,FALSE,not reported,TRUE,5-0,Inhalative,19,group,no,TRUE,,,uncoated,Umeshkumar Athiraman, ICA bifurcation,10-14 weeks,TRUE,,isoflurane concentration,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,18,,TRUE,TRUE,TRUE,,FALSE,ECA,mortality SAH 3,mortality SAH 3,,SAH 3,SAH 3,15,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,2% of isoflurane inhalation,2% of isoflurane inhalation
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,84477900-15d0-4398-a8ec-56f3c303ca33,82f99c4e-ee9e-4aaa-b885-ccc1c1f1c7d8,,model,827cd065-05e1-43ae-b177-30d11115f55e,intervention,87aef186-069d-4e9c-982c-d0a550532215,82,8a2010f5-1615-41df-a20f-eaa945bdb6d4,mean,TRUE,2,0,sd,1,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-09-30 12:24:27,FALSE,%,02a4a586-d53a-4bdc-807f-8da13d500238,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,FALSE,FALSE,not reported,C57BL/6,m,FALSE,FALSE,not reported,TRUE,,Inhalative,,not reported,no,FALSE,,,not reported,Umeshkumar Athiraman,,,FALSE,,Isoflurane conditioning,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,,,FALSE,FALSE,TRUE,,FALSE,,1,1,,1,1,82,Mortality Rate,Mean,Mortality rate (%),TRUE,%,SD,Mortality Rate,SAH,SAH,SAH,SAH
f526e2e8-f447-497e-91ed-9612ef7806ae,1a12d870-e9b4-43c4-af98-a3f1b5caad5e,,2021,454a197d-7db6-4b91-83bb-a075956b113f,1ab148f3-bdfa-40f3-8e35-64aae0738af2,,model,827cd065-05e1-43ae-b177-30d11115f55e,intervention,d65af5e1-a5d3-4f98-95ed-46aa99fc526b,0,8a2010f5-1615-41df-a20f-eaa945bdb6d4,mean,TRUE,0,0,sd,1,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-09-30 12:24:27,FALSE,%,0eb648f4-684d-4c38-8052-6e4e45aadcb6,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,FALSE,FALSE,not reported,C57BL/6,m,FALSE,FALSE,not reported,TRUE,,Inhalative,,not reported,no,FALSE,,,not reported,Umeshkumar Athiraman,,,FALSE,,Isoflurane conditioning,,,TRUE,uathira@wustl.edu,isoflurane,FALSE,,,FALSE,FALSE,TRUE,,FALSE,,2,2,,2,2,0,Mortality Rate,Mean,Mortality rate (%),TRUE,%,SD,Mortality Rate,SAH,SAH,Sham,Sham
f526e2e8-f447-497e-91ed-9612ef7806ae,1e244eff-656f-4a3e-b275-5002e5547e76,,2021,105c7c33-25fb-4133-92c9-2747bff13869,a73a345b-60c6-4f0b-84ac-7dffc2359c38,,model,6c84936d-06b6-4a8d-ace5-bd6be4e7c8d7,intervention,5f0d7fd3-3577-4119-8eeb-eab013f001eb,34,36a6cdb5-9b41-49f3-a1d6-8b1216d7b14c,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-22 10:21:40,FALSE,%,42e3404b-1fbc-4e98-bd83-a87571c81960,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6,male,FALSE,FALSE,not reported,TRUE,5-0,Inhalative,34,other conditions,no,TRUE,,Mice were housed under standard 12:12 light-dark condi- tions and allowed free access to water and food. ,uncoated,Ya Hua,,3 months,TRUE,,T2* gradient-echo sequence,,,TRUE,yahua@umich.edu,isoflurane 5% induction and 1.5% maintain,FALSE,17,,TRUE,TRUE,TRUE,,FALSE,left ECA,SAH,SAH,,SAH,SAH,34,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SAH,SAH,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,1e244eff-656f-4a3e-b275-5002e5547e76,,2021,c322c962-d786-45f7-b58b-2cb1c4aab707,6962c1ac-ba8a-4fa2-8061-22b82364511f,,model control,388b47eb-c209-4f6c-9b88-b562345d42ca,intervention,5f0d7fd3-3577-4119-8eeb-eab013f001eb,17,36a6cdb5-9b41-49f3-a1d6-8b1216d7b14c,mean,TRUE,0,0,sd,1,1d362025-1467-4810-8d69-52df43b69821,2021-10-22 10:21:40,FALSE,%,a409fbf3-d693-4de9-bc67-4a4c2192476e,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6,male,FALSE,FALSE,not reported,TRUE,5-0,Inhalative,34,other conditions,no,TRUE,,Mice were housed under standard 12:12 light-dark condi- tions and allowed free access to water and food. ,uncoated,Ya Hua,,3 months,TRUE,,T2* gradient-echo sequence,,,TRUE,yahua@umich.edu,isoflurane 5% induction and 1.5% maintain,FALSE,17,,TRUE,TRUE,TRUE,,FALSE,left ECA,SHAM,SHAM,,SHAM,SHAM,17,mortality,Mean,Mortality rate (%),TRUE,%,SD,mortality,SHAM,SHAM,none,none
f526e2e8-f447-497e-91ed-9612ef7806ae,1e244eff-656f-4a3e-b275-5002e5547e76,,2021,caae4672-0ba7-436f-8aaa-5c86ec2e13ed,48674aae-98a4-4ac7-8ff2-ae8feafc8b76,,model,04f09f20-7f2a-4d20-bdda-6526c58ac2c7,intervention,893e25b4-3164-4aef-b631-a5e84788df2b,16,08e71ab9-a807-4f66-bac3-15e37c1e5257,mean,TRUE,0,0,sd,4,4c1843fd-ea20-4674-a0bc-8d11c2c03bdf,2021-09-30 10:29:01,FALSE,%,1aa8ce59-8f71-42ee-b7c7-cda7a8e383f5,ba5a088a-1c1a-4669-a282-2a8b12f393a7,Root,TRUE,TRUE,not reported,C57BL/6,m,FALSE,FALSE,not reported,TRUE,5-0,Inhalative,34,not reported,yes,TRUE,,,other,Guohua Xi,,3 months,TRUE,, LCN2 KO,monofilament,,TRUE,guohuaxi@umich.edu,5% isoflurane ,FALSE,17,,TRUE,TRUE,TRUE,,FALSE,left internal carotid artery,2,2,,SHAM,SHAM,16,Mortality rate,Mean,Mortality rate (%),TRUE,%,SD,Mortality rate,SAH,SAH,Sham,Sham
