"StudyIdStr","AnnotatorIdStr","GreaterIsWorse","Units","AverageType","NumberOfAnimals","ErrorType","Experiment","Time","Average","Error","Which.type.of.outcome.was.assessed.","ModelLabel","Vehicle.control.","SAH.Grading.System","Diameter.measurement.method","Reconciled.vehicle.control","Reconciled.SAH.grading.system","Reconciled.diameter.measurement.method","Reconciled.Vessel.for.diameter.assessment","Reconciled.Side.of.Vessel.for.diameter.assessment","intubation","strain","postsurgical treatment","ICP monitoring","filament size","type of anesthesia","Singe/Group cage","12-hour light-dark cycle","free access to food and water","controlled humidity","controlled temperature","temperature (�C)","humidity (%)","injetive_anesthetic_substance","injetive_anesthetic_dose","Inhalative anesthesiea Substance","Isoflurane Induction","Isoflurane Maintenance","Inhalative Anesthesia O2/N2-Mixture","Inhalative Anesthesia Flow","material","lenght","diameter","sharpened tip","blunted tip","monofilament","suture","location_perforation","side_location_perforation","age_median","age_plus_minus","weight_median","weight_plus_minus","surgery_duration","subtance_postsurgical_treatment","vessel_entry_perforation","side_entry_perforation","deaths","joinedSE"
"33be5e82-27b6-422f-9318-cdd8bef0fc9b","TIMO",TRUE,"%","Mean",15,"","A",3,33.3,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","no","5-0","Injective","single cage","","","x","x",22,30,"Ketamin and Xylazine","ketamine (100 mg/kg), Xylazine (5–10 mg/kg)",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","","x","x","x","Bifurcation of ACA and MCA","right","12",0,NA,NA,NA,"","MCA","right",5,"33be5e82-27b6-422f-9318-cdd8bef0fc9b A"
"3b028a2e-bee1-4199-b86d-22736264a99b","TIMO",TRUE,"%","Mean",37,"","A",30,28,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","2.00%","1.50%","","","Nylon",NA,"5-0","","","","x","Bifurcation of ICA","left","12",0,NA,NA,NA,"Ampicillin in Dextrose solution","ECA","left",10,"3b028a2e-bee1-4199-b86d-22736264a99b A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",1,0,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",0,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",2,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",3,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",4,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",5,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",6,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef","TIMO",TRUE,"%","Mean",10,"","A",7,10,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective and inhalative anaesthesia combined","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Bifurcation of ACA and MCA","","",NA,23.5,1.5,NA,"Caprofen","ECA","",1,"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A"
"40090fa0-6946-4076-ba23-9c5b699a5c6e","TIMO",TRUE,"%","Mean",NA,"","A",NA,23.3,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Injective","not reported whether single or group cage","x","x","","",NA,NA,"Chloralhydrate","5% 7 mg/kg",NA,NA,NA,NA,NA,"",NA,"5-0","","x","x","","ICA","","10",2,22.5,2.5,NA,"","ECA","",NA,"40090fa0-6946-4076-ba23-9c5b699a5c6e A"
"487d51c4-eb75-4458-bfb2-e038b743a4ce","TIMO",TRUE,"%","Mean",15,"","A",NA,20,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","TRUE","not reported","5-0","Injective","not reported whether single or group cage","x","x","x","x",22,50,"Ketamin and Xylazine","Ketamin (50 mg/kg), Xylazine (25 mg/kg)",NA,NA,NA,NA,NA,"Nylon",20,"5-0","","x","x","x","Bifurcation of ICA and MCA","","10",2,26.5,1.5,NA,"Buprenorphine","ECA","left",3,"487d51c4-eb75-4458-bfb2-e038b743a4ce A"
"49221963-9cb6-4a25-8dae-48290990747d","TIMO",TRUE,"%","Mean",46,"","A",1,10.8695652173913,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Ketamin and Xylazine","Ketamin (100 mg/kg), Xylazine (10 mg/kg)",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","","x","x","x","ACA","right","16",4,NA,NA,NA,"","ECA","",5,"49221963-9cb6-4a25-8dae-48290990747d A"
"4c4e2785-7a37-4372-a212-00a99a93b34a","TIMO",TRUE,"%","Mean",28,"","A",2,21.4285714285714,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","Reported that no postsurgical treatment was given","not reported","5-0","Injective","group cage","x","x","x","x",NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","","","x","x","Bifurcation of ACA and MCA","","9",1,20,2,NA,"No medication","ECA","right",6,"4c4e2785-7a37-4372-a212-00a99a93b34a A"
"4e20f054-08ef-4296-994e-6ca213e76698","TIMO",TRUE,"%","Mean",13,"","A",1,7.69230769230769,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","yes","5-0","Inhalative","not reported whether single or group cage","","x","x","x",23,55,NA,NA,"Isoflurane","4.00%","2.00%","","","Prolene",NA,"5-0","","","","","not reported","","32.59",6.52,31.9,5.5,NA,"","ICA","left",1,"4e20f054-08ef-4296-994e-6ca213e76698 A"
"4e20f054-08ef-4296-994e-6ca213e76698","TIMO",TRUE,"%","Mean",13,"","A",2,23.0769230769231,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","yes","5-0","Inhalative","not reported whether single or group cage","","x","x","x",23,55,NA,NA,"Isoflurane","4.00%","2.00%","","","Prolene",NA,"5-0","","","","","not reported","","32.59",6.52,31.9,5.5,NA,"","ICA","left",3,"4e20f054-08ef-4296-994e-6ca213e76698 A"
"4e20f054-08ef-4296-994e-6ca213e76698","TIMO",TRUE,"%","Mean",13,"","A",3,30.7692307692308,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","yes","5-0","Inhalative","not reported whether single or group cage","","x","x","x",23,55,NA,NA,"Isoflurane","4.00%","2.00%","","","Prolene",NA,"5-0","","","","","not reported","","32.59",6.52,31.9,5.5,NA,"","ICA","left",4,"4e20f054-08ef-4296-994e-6ca213e76698 A"
"55615754-99dc-4dba-a628-da3b780a3d99","TIMO",TRUE,"%","Mean",17,"","A",1,23.5294117647059,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","x",NA,NA,NA,NA,"Isoflurane","4.00%","2.00%","30/70","","Nylon",NA,"5-0","","x","x","","ACA","left",NA,NA,27.5,5.5,NA,"","ICA","left",4,"55615754-99dc-4dba-a628-da3b780a3d99 A"
"55615754-99dc-4dba-a628-da3b780a3d99","TIMO",TRUE,"%","Mean",10,"","B",8,20,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","x",NA,NA,NA,NA,"Isoflurane","4.00%","2.00%","30/70","","Nylon",NA,"5-0","","x","x","","ACA","left",NA,NA,27.5,5.5,NA,"","ICA","left",2,"55615754-99dc-4dba-a628-da3b780a3d99 B"
"5af257e3-1c25-4e41-9d7b-4e017fb5b981","TIMO",TRUE,"%","Mean",28,"","A",1,25,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6J","FALSE","yes","5-0","Injective","not reported whether single or group cage","","x","","",NA,NA,"Sodium Pentorbital","50 mg/kg",NA,NA,NA,NA,NA,"Prolene",NA,"5-0","","","","","Bifurcation of ACA and MCA","","8",0.61,20.1,0.65,NA,"","ECA","",7,"5af257e3-1c25-4e41-9d7b-4e017fb5b981 A"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",94,"","B",0.020833333333333,6.38297872340426,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",6,"61702aff-9b39-42fe-8c00-c62c2bff42ae B"
"61702aff-9b39-42fe-8c00-c62c2bff42ae","TIMO",TRUE,"%","Mean",31,"","C",0.020833333333333,0,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"5-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",0,"61702aff-9b39-42fe-8c00-c62c2bff42ae C"
"6ba7f978-80f7-4460-a0d9-0f8042112225","TIMO",TRUE,"%","Mean",58,"","A",1,18.9655172413793,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","not reported","Not reported","not reported whether single or group cage","","x","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,26,4,NA,"","","",11,"6ba7f978-80f7-4460-a0d9-0f8042112225 A"
"6e8bdf4f-1be9-475c-8883-4bbbb6310b66","TIMO",TRUE,"%","Mean",10,"","A",30,20,"","Mortality rate (%)","SAH","","","","","","","","","yes","C57/BL6","TRUE","yes","5-0","Injective","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,"Midazolam, Fentanyl and Medetomidin","midazolam (5mg/kg), fentanyl(0.05mg/kg), medetomidin(0.5mg/kg)",NA,NA,NA,NA,NA,"",NA,"5-0","","","x","","Circle of willis","","7",1,21.5,1.5,15,"Jelly food","ECA","left",2,"6e8bdf4f-1be9-475c-8883-4bbbb6310b66 A"
"6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0","TIMO",TRUE,"%","Mean",37,"","A",1,18.9189189189189,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6N","TRUE","not reported","5-0","Inhalative","group cage","","","","x",24,NA,NA,NA,"Isoflurane","2.00%","1.50%","50/50","2 L/min","Nylon",NA,"5-0","","x","x","x","Bifurcation of ICA and MCA","","9",0,23.5,2.5,NA,"Saline","ECA","",7,"6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0 A"
"7e7d3286-31d1-4376-8373-8445a381b577","TIMO",TRUE,"%","Mean",43,"","A",3,18.6046511627907,"","Mortality rate (%)","SAH","","","","","","","","","no","C57/BL6J","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","x","x",NA,NA,NA,NA,"Isoflurane","3-4%","1-1.5%","","","",NA,"5-0","","","","","Bifurcation of ACA and MCA","","10",2,20,2,NA,"","ECA","right",8,"7e7d3286-31d1-4376-8373-8445a381b577 A"
"7faa52e0-6c96-4611-92ae-5e938b1af4f7","TIMO",TRUE,"%","Mean",15,"","A",1,26.6666666666667,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","4-0","Injective","not reported whether single or group cage","x","x","x","x",NA,NA,"Tribromoethanol ","250 mg/kg",NA,NA,NA,NA,NA,"Nylon",NA,"4-0","x","","x","x","Bifurcation of ACA and MCA","left","11",1,27.5,2.5,NA,"","ECA","left",4,"7faa52e0-6c96-4611-92ae-5e938b1af4f7 A"
"971d93e5-4b91-4cdc-884d-1069d7400db7","TIMO",TRUE,"%","Mean",15,"","A",1,13.3333333333333,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Injective","not reported whether single or group cage","","x","","x",21,NA,"Ketamin and Xylazine","Ketamin (10 mg/kg), Xylazine (5 mg/kg)",NA,NA,NA,NA,NA,"Nylon",20,"5-0","","x","x","x","Bifurcation of ICA","","",NA,24.5,1.5,NA,"Buprenorphine","ECA","left",2,"971d93e5-4b91-4cdc-884d-1069d7400db7 A"
"971d93e5-4b91-4cdc-884d-1069d7400db7","TIMO",TRUE,"%","Mean",15,"","A",2,26.6666666666667,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Injective","not reported whether single or group cage","","x","","x",21,NA,"Ketamin and Xylazine","Ketamin (10 mg/kg), Xylazine (5 mg/kg)",NA,NA,NA,NA,NA,"Nylon",20,"5-0","","x","x","x","Bifurcation of ICA","","",NA,24.5,1.5,NA,"Buprenorphine","ECA","left",4,"971d93e5-4b91-4cdc-884d-1069d7400db7 A"
"971d93e5-4b91-4cdc-884d-1069d7400db7","TIMO",TRUE,"%","Mean",15,"","A",3,26.6666666666667,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Injective","not reported whether single or group cage","","x","","x",21,NA,"Ketamin and Xylazine","Ketamin (10 mg/kg), Xylazine (5 mg/kg)",NA,NA,NA,NA,NA,"Nylon",20,"5-0","","x","x","x","Bifurcation of ICA","","",NA,24.5,1.5,NA,"Buprenorphine","ECA","left",4,"971d93e5-4b91-4cdc-884d-1069d7400db7 A"
"971d93e5-4b91-4cdc-884d-1069d7400db7","TIMO",TRUE,"%","Mean",15,"","A",5,33.3333333333333,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","TRUE","not reported","5-0","Injective","not reported whether single or group cage","","x","","x",21,NA,"Ketamin and Xylazine","Ketamin (10 mg/kg), Xylazine (5 mg/kg)",NA,NA,NA,NA,NA,"Nylon",20,"5-0","","x","x","x","Bifurcation of ICA","","",NA,24.5,1.5,NA,"Buprenorphine","ECA","left",5,"971d93e5-4b91-4cdc-884d-1069d7400db7 A"
"aadfb399-9468-4126-8bac-95f20fb9bf16","TIMO",TRUE,"%","Mean",26,"","A",2,5.8,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","","x","","",NA,NA,NA,NA,"Isoflurane","2.00%","1.50%","","","Nylon",NA,"5-0","","","","x","Bifurcation of ICA","","15.21",2.17,NA,NA,NA,"","ECA","",2,"aadfb399-9468-4126-8bac-95f20fb9bf16 A"
"bf530f50-f645-4103-8719-029e8d9c9fcb","TIMO",TRUE,"%","Mean",40,"","A",0.166666666666667,0,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","not reported","5-0","Inhalative","not reported whether single or group cage","x","x","","",NA,NA,NA,NA,"Isoflurane","5.00%","1.5-2%","","","",NA,"5-0","","","x","x","ICA","",NA,NA,26,4,NA,"","ECA","left",0,"bf530f50-f645-4103-8719-029e8d9c9fcb A"
"c2fed96c-4b03-4ae9-907f-a7f58202e6fa","TIMO",TRUE,"%","Mean",19,"","A",3,21.0526315789474,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6N","FALSE","yes","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","5.00%","1.50%","","","Nylon",10,"5-0","","x","","x","not reported","","11",1,23.5,2.5,NA,"","ECA","",4,"c2fed96c-4b03-4ae9-907f-a7f58202e6fa A"
"d9b32b94-334f-4bf7-bf75-2b74b39c4d75","TIMO",TRUE,"%","Mean",15,"","A",3,20,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","yes","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","5.00%","1.50%","","","Nylon",NA,"5-0","","","x","x","Bifurcation of ICA and MCA","","",NA,24,2,NA,"","ECA","",3,"d9b32b94-334f-4bf7-bf75-2b74b39c4d75 A"
"d9b32b94-334f-4bf7-bf75-2b74b39c4d75","TIMO",TRUE,"%","Mean",27,"","B",2,22.2222222222222,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6","FALSE","yes","5-0","Inhalative","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,"Isoflurane","5.00%","1.50%","","","Nylon",NA,"5-0","","","x","x","Bifurcation of ICA and MCA","","",NA,24,2,NA,"","ECA","",6,"d9b32b94-334f-4bf7-bf75-2b74b39c4d75 B"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","TIMO",TRUE,"%","Mean",14,"","A",1,7.14285714285714,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","not reported","Not reported","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,23,2,NA,"","","",1,"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","TIMO",TRUE,"%","Mean",14,"","A",2,7.14285714285714,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","not reported","Not reported","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,23,2,NA,"","","",1,"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","TIMO",TRUE,"%","Mean",14,"","A",3,7.14285714285714,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","not reported","Not reported","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,23,2,NA,"","","",1,"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","TIMO",TRUE,"%","Mean",11,"","A",4,36.3636363636364,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","not reported","Not reported","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,23,2,NA,"","","",4,"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","TIMO",TRUE,"%","Mean",11,"","A",5,63.6363636363636,"","Mortality rate (%)","SAH","","","","","","","","","not reported","C57/BL6J","FALSE","not reported","not reported","Not reported","not reported whether single or group cage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","not reported","","",NA,23,2,NA,"","","",7,"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A"
