#,idStr,Title,Year,Authors,DOI,first_author,first_author_year
11,fec0d187-a931-44ba-b015-d8fe5398a17f,DHEA Attenuates Microglial Activation via Induction of JMJD3 in Experimental Subarachnoid Haemorrhage,2019,"Tao T, Liu GJ, Shi X, Zhou Y, Lu Y, Gao YY, Zhang XS, Wang H, Wu LY, Chen CL, Zhuang Z, Li W, Hang CH   ",10.1186/s12974-019-1641-y,Tao,Tao (2019)
12,d9b32b94-334f-4bf7-bf75-2b74b39c4d75,Effect of ADAMTS-13 on cerebrovascular microthrombosis and neuronal injury after experimental subarachnoid hemorrhage,2014,"Muroi C, Fujioka M, Mishima K, Irie K, Fujimura Y, Nakano T, Fandino J, Keller E, Iwasaki K, Fujiwara M ",10.1111/jth.12511,, (2014)
13,3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,Effect of decompressive craniectomy on outcome following subarachnoid hemorrhage in mice,2015,"Buehler D, Azghandi S, Schüller K, Plesnila N   ",10.1161/STROKEAHA.114.007703,Bühler,Buehler (2015)
14,d4d7776b-93ce-43d4-a9b4-4278088aa35f,Effects of Toll-Like Receptor 4 Antagonists Against Cerebral Vasospasm After Experimental Subarachnoid Hemorrhage in Mice,2017,"Kawakita F, Fujimoto M, Liu L, Nakano F, Nakatsuka Y, Suzuki H   ",10.1007/s12035-016-0178-7,Kawakita,Kawakita (2017)
15,aadfb399-9468-4126-8bac-95f20fb9bf16,Endothelial nitric oxide synthase mediates endogenous protection against subarachnoid hemorrhage-induced cerebral vasospasm,2011,"Vellimana A. K., MD , Eric Milner, BS , Tej D. Azad , Michael D. Harries , Meng-Liang Zhou, MD, PhD , Jeffrey M. Gidday, PhD , Byung Hee Han, PhD , and Gregory J. Zipfel, MD",10.1161/STR.0b013e3182074d88,, (2011)
16,971d93e5-4b91-4cdc-884d-1069d7400db7,Endovascular Perforation Murine Model of Subarachnoid Hemorrhage,2016,"Du GJ, Lu G, Zheng ZY, Poon WS, Wong KC   ",10.1007/978-3-319-18497-5_14,Du,Du (2016)
17,d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,Evaluation of a filament perforation model for mouse subarachnoid hemorrhage using 7.0 Tesla MRI,2016,"Muroi C, Kashiwagi Y, Rokugawa T, Tonomura M, Obata A, Nevzati E, Tsuboi A, Okuchi K, Mishima K, Abe K, Fujioka M   ",10.1016/j.jocn.2015.10.045,Muroi,Muroi (2016)
18,c2fed96c-4b03-4ae9-907f-a7f58202e6fa,Filament perforation model for mouse subarachnoid hemorrhage: surgical-technical considerations,2014,"Muroi C, Fujioka M, Okuchi K, Fandino J, Keller E, Sakamoto Y, Mishima K, Iwasaki K, Fujiwara M   ",10.3109/02688697.2014.918579,Muroi,Muroi (2014)
19,61702aff-9b39-42fe-8c00-c62c2bff42ae,Inhibition of AMPA (alpha-Amino-3-Hydroxy-5-Methyl-4-Isoxazole Propionate) Receptor Reduces Acute Blood-Brain Barrier Disruption After Subarachnoid Hemorrhage in Mice,2021,"Kawakita F., Kanamaru, H., Asada, R. et al.",10.1007/s12975-021-00934-0,, (2021)
20,487d51c4-eb75-4458-bfb2-e038b743a4ce,Integrated analysis of gait parameters and gene expression profiles in a murine model of subarachnoid hemorrhage,2021,"Zheng ZY, Lu G, Xiong ZQ, Leung CK, Su XW, Li T, Poon WS, Chan WY, Wong GKC   ",10.1111/gbb.12728,Zheng,Zheng (2021)
21,7e7d3286-31d1-4376-8373-8445a381b577,Irisin Contributes to Neuroprotection by Promoting Mitochondrial Biogenesis After Experimental Subarachnoid Hemorrhage,2021,"Tu T, Yin S, Pang J, Zhang X, Zhang L, Zhang Y, Xie Y, Guo K, Chen L, Peng J and Jiang Y",10.3389/fnagi.2021.640215,, (2021)
22,6e8bdf4f-1be9-475c-8883-4bbbb6310b66,Long-term impairment of neurovascular coupling following experimental subarachnoid hemorrhage,2020,"Balbi M, Vega MJ, Lourbopoulos A, Terpolilli NA, Plesnila N   ",10.1177/0271678X19863021,Balbi,Balbi (2020)
23,e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,Melatonin Attenuates Early Brain Injury via the Melatonin Receptor/Sirt1/NF-κB Signaling Pathway Following Subarachnoid Hemorrhage in Mice,2017,"Zhao L, Liu H, Yue L, Zhang J, Li X, Wang B, Lin Y, Qu Y   ",10.1007/s12035-016-9776-7,Zhao,Zhao (2017)
24,2ea6da77-9ff3-41a6-9ad5-a46de336416b,Melatonin Attenuates White Matter Injury via Reducing Oligodendrocyte Apoptosis After Subarachnoid Hemorrhage in Mice,2020,"Liu D, Dong Y, Li G, Zou Z, Hao G, Feng H, Pan P, Liang G   ",10.5137/1019-5149.JTN.27986-19.3,Liu,Liu (2020)
25,f0846ef5-5cfe-4481-a655-5b3b63d47e49,Microthrombi Correlates With Infarction and Delayed Neurological Deficits After Subarachnoid Hemorrhage in Mice,2020,"Dienel A, Ammassam Veettil R, Hong SH, Matsumura K, Kumar T P, Yan Y, Blackburn SL, Ballester LY, Marrelli SP, McCullough LD, McBride DW   ",10.1161/STROKEAHA.120.029753,Dienel,Dienel (2020)
26,3b028a2e-bee1-4199-b86d-22736264a99b,Minimal Long-Term Neurobehavioral Impairments after Endovascular Perforation Subarachnoid Hemorrhage in Mice,2017,"Fanizzi C, Sauerbeck AD, Gangolli M, Zipfel GJ, Brody DL, Kummer TT   ",10.1038/s41598-017-07701-y,Fanizzi,Fanizzi (2017)
27,ef4ad15c-3f9b-4efd-84a1-ab94609caceb,Morphological Characteristics of Neuronal Death After Experimental Subarachnoid Hemorrhage in Mice Using Double Immunoenzymatic Technique,2019,"Nakano F, Liu L, Kawakita F, Kanamaru H, Nakatsuka Y, Nishikawa H, Okada T, Shiba M, Suzuki H   ",10.1369/0022155419878181,Nakano,Nakano (2019)
28,dee61796-1b46-4e5f-9755-a3af31005637,MRI-based in vivo assessment of early cerebral infarction in a mouse filament perforation model of subarachnoid hemorrhage,2017,"Sasaki K, Mutoh T, Nakamura K, Kojima I, Taki Y, Suarez JI, Ishikawa T   ",10.1016/j.neulet.2017.05.047,Sasaki,Sasaki (2017)
29,6ba7f978-80f7-4460-a0d9-0f8042112225,New grading system based on magnetic resonance imaging in a mouse model of subarachnoid hemorrhage,2015,"Egashira Y, Shishido H, Hua Y, Keep RF, Xi G   ",10.1161/STROKEAHA.114.007834,Egashira,Egashira (2015)
30,49221963-9cb6-4a25-8dae-48290990747d,Oxidative stress after subarachnoid hemorrhage in gp91phox knockout mice,2007,"Liu S, Tang J, Ostrowski RP, Titova E, Monroe C, Chen W, Lo W, Martin R, Zhang JH   ",10.1017/s031716710000682x,Liu,Liu (2007)
31,ee082119-c743-475e-af5f-27fef5150192,Role of the endothelium NO-Synthase in early brain injury after experimental subarachnoid hemorrhage,2017,"Lenz IJ, Plesnila N, Terpolilli NA ",10.1177/0271678X17695982,, (2017)
32,5af257e3-1c25-4e41-9d7b-4e017fb5b981,Single clip: An improvement of the filament-perforation mouse subarachnoid haemorrhage model,2019,"Peng J, Wu Y, Pang J, Sun X, Chen L, Chen Y, Tang J, Zhang JH, Jiang Y   ",10.1080/02699052.2018.1531310,Peng,Peng (2019)
33,03958613-4da9-4de2-8e6b-f63c33a392e1,Standardized induction of subarachnoid hemorrhage in mice by intracranial pressure monitoring,2010,"Feiler S, Friedrich B, Schöller K, Thal SC, Plesnila N   ",10.1016/j.jneumeth.2010.05.005,Feiler,Feiler (2010)
34,ef45a356-7026-45c3-ab9c-6d94465bb727,Stimulator of IFN genes mediates neuroinflammatory injury by suppressing AMPK signal in experimental subarachnoid hemorrhage,2020,"Peng Y, Zhuang J, Ying G, Zeng H, Zhou H, Cao Y, Chen H, Xu C, Fu X, Xu H, Li J, Cao S, Chen J, Gu C, Yan F, Chen G   ",10.1186/s12974-020-01830-4,Peng,Peng (2020)
35,33be5e82-27b6-422f-9318-cdd8bef0fc9b,Subarachnoid hemorrhage in C57BL/6J mice increases motor stereotypies and compulsive-like behaviors,2021,"Nanegrungsunk D, Ragozzino ME, Xu HL, Haselton KJ, Paisansathan C   ",10.1080/01616412.2020.1841481,Nanegrungsunk,Nanegrungsunk (2021)
36,11660f81-c343-4396-a097-74ca3430d6fa,TSPO ligand Ro5-4864 modulates microglia/macrophages polarization after subarachnoid hemorrhage in mice,2020,"Zhou J, Zhang X, Peng J, Xie Y, Du F, Guo K, Feng Y, Zhang L, Chen L, Jiang Y   ",10.1016/j.neulet.2020.134977,Zhou,Zhou (2020)
37,1e244eff-656f-4a3e-b275-5002e5547e76,Ultra-Early Cerebral Thrombosis Formation After Experimental Subarachnoid Hemorrhage Detected on T2* Magnetic Resonance Imaging,2021,"Wang Z, Chen J, Toyota Y, Keep RF, Xi G, Hua Y   ",10.1161/STROKEAHA.120.032397,Wang,Wang (2021)
38,6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0,Value of Three-Dimensional Maximum Intensity Projection Display to Assist in Magnetic Resonance Imaging (MRI)-Based Grading in a Mouse Model of Subarachnoid Hemorrhage,2016,"Mutoh T, Mutoh T, Sasaki K, Nakamura K, Taki Y, Ishikawa T   ",10.12659/msm.896499,Mutoh,Mutoh (2016)
39,55615754-99dc-4dba-a628-da3b780a3d99,White Matter Injury After Subarachnoid Hemorrhage: Role of Blood-Brain Barrier Disruption and Matrix Metalloproteinase-9,2015,"Egashira Y, Zhao H, Hua Y, Keep RF, Xi G   ",10.1161/STROKEAHA.115.010351,Egashira,Egashira (2015)
40,bf530f50-f645-4103-8719-029e8d9c9fcb,White matter T2 hyperintensities and blood-brain barrier disruption in the hyperacute stage of subarachnoid hemorrhage in male mice: The role of lipocalin-2,2019,"Toyota Y, Wei J, Xi G, Keep RF, Hua Y   ",10.1111/cns.13221,Toyota,Toyota (2019)
