idStr,Title,Year,Authors,DOI
4f489d99-04e3-44c9-b305-985b2da8fde4,Anti-vasospastic Effects of Epidermal Growth Factor Receptor Inhibitors After Subarachnoid Hemorrhage in Mice,2019,"Nakano F, Kawakita F, Liu L, Nakatsuka Y, Nishikawa H, Okada T, Kanamaru H, Pak S, Shiba M, Suzuki H   ",10.1007/s12035-018-1400-6
2f3c1ffb-db00-4396-81d1-2051871f6170,Apolipoprotein E Deficiency Aggravates Neuronal Injury by Enhancing Neuroinflammation via the JNK/c-Jun Pathway in the Early Phase of Experimental Subarachnoid Hemorrhage in Mice,2019,"Wu Y, Pang J, Peng J, Cao F, Guo Z, Jiang L, Teng Z, Huang Z, Cheng C, Jiang Y, Sun X   ",10.1155/2019/3832648
542d347b-6a68-4960-a9c1-5543d21380ad,Assessment of the Correlations Between Brain Weight and Brain Edema in Experimental Subarachnoid Hemorrhage,2016,"Hasegawa Y, Suzuki H, Nakagawa T, Uekawa K, Koibuchi N, Kawano T, Kim-Mitsuyama S   ",10.1007/978-3-319-18497-5_15
04f9bacd-8841-45d7-94b3-fc4d5dca6481,Attenuation of cerebral vasospasm after subarachnoid hemorrhage in mice overexpressing extracellular superoxide dismutase,2002,"McGirt MJ, Parra A, Sheng H, Higuchi Y, Oury TD, Laskowitz DT, Pearlstein RD, Warner DS   ",10.1161/01.str.0000027207.67639.1e
7ef9f14f-101c-4627-8750-41995bad3c31,"Baicalin Attenuates Subarachnoid Hemorrhagic Brain Injury by Modulating Blood-Brain Barrier Disruption, Inflammation, and Oxidative Damage in Mice",2017,"Shi X, Fu Y, Zhang S, Ding H, Chen J   ",10.1155/2017/1401790
05d6afa6-4abf-4148-ab12-7b0c574d1e1b,Basal Ganglia Damage in Experimental Subarachnoid Hemorrhage,2016,"Zhang H, Okubo S, Hua Y, Keep RF, Xi G   ",10.1007/978-3-319-18497-5_25
4c4e2785-7a37-4372-a212-00a99a93b34a,Biglycan regulates neuroinflammation by promoting M1 microglial activation in early brain injury after experimental subarachnoid hemorrhage,2020,"Xie Y, Peng J, Pang J, Guo K, Zhang L, Yin S, Zhou J, Gu L, Tu T, Mu Q, Liao Y, Zhang X, Chen L, Jiang Y   ",10.1111/jnc.14926
cf210ee3-a04e-4036-a0d9-238e7caf7a06,Calcium sensing receptor contribute to early brain injury through the CaMKII/NLRP3 pathway after subarachnoid hemorrhage in mice,2020,"Wang C, Jia Q, Sun C, Jing C   ",10.1016/j.bbrc.2020.07.081
f068ccce-fdb6-4e46-8644-69d64f427305,Capillary flow disturbances after experimental subarachnoid hemorrhage: A contributor to delayed cerebral ischemia?,2019,"Anzabi M, Angleys H, Aamand R, Ardalan M, Mouridsen K, Rasmussen PM, Sørensen JCH, Plesnila N, Østergaard L, Iversen NK   ",10.1111/micc.12516
6e139741-2fc8-45b5-86c0-bb00ebcfab3c,Caspase-1 inhibitor prevents neurogenic pulmonary edema after subarachnoid hemorrhage in mice,2009,"Suzuki H, Sozen T, Hasegawa Y, Chen W, Zhang JH   ",10.1161/STROKEAHA.109.566109
36a50c5f-55cc-4cf7-b3ec-fc3df37798a5,Celastrol protects against early brain injury after subarachnoid hemorrhage in rats through alleviating blood-brain barrier disruption and blocking necroptosis,2021,"Xu H, Cai Y, Yu M, Sun J, Cai J, Li J, Qin B, Ying G, Chen T, Shen Y, Jie L, Xu D, Gu C, Wang C, Hu X, Chen J, Wang L, Chen G   ",10.18632/aging.203221
37c5527e-ca7e-4427-8719-522313f00946,Ceria Nanoparticles Synthesized With Aminocaproic Acid for the Treatment of Subarachnoid Hemorrhage,2018,"Jeong HG, Cha BG, Kang DW, Kim DY, Ki SK, Kim SI, Han JH, Yang W, Kim CK, Kim J, Lee SH   ",10.1161/STROKEAHA.118.022631
944fc8de-dc06-45e0-a12b-2d78117d3c67,Chronic hydrocephalus after experimental subarachnoid hemorrhage,2013,"Lackner P, Vahmjanin A, Hu Q, Krafft PR, Rolland W, Zhang JH   ",10.1371/journal.pone.0069571
35fdb812-1269-4b83-8e71-cfda2bef5f09,Characteristics of Cerebrovascular Injury in the Hyperacute Phase After Induced Severe Subarachnoid Hemorrhage,2015,"Hasegawa Y, Suzuki H, Uekawa K, Kawano T, Kim-Mitsuyama S   ",10.1007/s12975-015-0423-9
23035212-e8b2-414f-9ebf-516f11845c6a,Clarithromycin Ameliorates Early Brain Injury After Subarachnoid Hemorrhage via Suppressing Periostin-Related Pathways in Mice,2021,"Kanamaru H, Kawakita F, Nishikawa H, Nakano F, Asada R, Suzuki H   ",10.1007/s13311-021-01050-5
cf853447-3554-4caa-a912-72fc4eede548,Cortical microcirculatory disturbance in the super acute phase of subarachnoid hemorrhage - In vivo analysis using two-photon laser scanning microscopy,2016,"Ishikawa M, Kajimura M, Morikawa T, Tsukada K, Tsuji T, Kusaka G, Tanaka Y, Suematsu M   ",10.1016/j.jns.2016.06.067
3a253a75-4cc1-4ed3-92ce-667e32cedee1,Curcumin attenuates blood-brain barrier disruption after subarachnoid hemorrhage in mice,2017,"Yuan J, Liu W, Zhu H, Zhang X, Feng Y, Chen Y, Feng H, Lin J   ",10.1016/j.jss.2016.08.090
ed44547c-24c3-45bc-bdb6-08273d44e762,Deferoxamine reduces early brain injury following subarachnoid hemorrhage,2011,"Lee JY, Keep RF, Hua Y, Ernestus RI, Xi G   ",10.1007/978-3-7091-0661-7_18
7faa52e0-6c96-4611-92ae-5e938b1af4f7,Deficiency of Tenascin-C Alleviates Neuronal Apoptosis and Neuroinflammation After Experimental Subarachnoid Hemorrhage in Mice,2018,"Liu L, Fujimoto M, Nakano F, Nishikawa H, Okada T, Kawakita F, Imanaka-Yoshida K, Yoshida T, Suzuki H   ",10.1007/s12035-018-1006-z
fec0d187-a931-44ba-b015-d8fe5398a17f,DHEA Attenuates Microglial Activation via Induction of JMJD3 in Experimental Subarachnoid Haemorrhage,2019,"Tao T, Liu GJ, Shi X, Zhou Y, Lu Y, Gao YY, Zhang XS, Wang H, Wu LY, Chen CL, Zhuang Z, Li W, Hang CH   ",10.1186/s12974-019-1641-y
563f01a1-a265-4cb5-b428-c920709cfb9c,Dihydrolipoic Acid Inhibits Lysosomal Rupture and NLRP3 Through Lysosome-Associated Membrane Protein-1/Calcium/Calmodulin-Dependent Protein Kinase II/TAK1 Pathways After Subarachnoid Hemorrhage in Rat,2018,"Zhou K, Enkhjargal B, Xie Z, Sun C, Wu L, Malaguit J, Chen S, Tang J, Zhang J, Zhang JH   ",10.1161/STROKEAHA.117.018593
f4ab65c1-b8fc-42a9-b0ec-afdc560a5b59,Double Direct Injection of Blood into the Cisterna Magna as a Model of Subarachnoid Hemorrhage,2020,"Pedard M, El Amki M, Lefevre-Scelles A, Compère V, Castel H   ",10.3791/61322
7448b7ff-cda7-4da3-b8c0-333e3eb2140b,Early-stage microvascular alterations of a new model of controlled cortical traumatic brain injury: 3D morphological analysis using scanning electron microscopy and corrosion casting,2013,"Sangiorgi S, De Benedictis A, Protasoni M, Manelli A, Reguzzoni M, Cividini A, Dell'orbo C, Tomei G, Balbi S   ",10.3171/2012.11.JNS12627
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,Effect of ADAMTS-13 on cerebrovascular microthrombosis and neuronal injury after experimental subarachnoid hemorrhage,2014, ,10.1111/jth.12511
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,Effect of decompressive craniectomy on outcome following subarachnoid hemorrhage in mice,2015,"Bühler D, Azghandi S, Schüller K, Plesnila N   ",10.1161/STROKEAHA.114.007703
43c0f26a-d8d6-4669-b552-a008b4a14d96,Effects of deferoxamine on blood-brain barrier disruption after subarachnoid hemorrhage,2017,"Li Y, Yang H, Ni W, Gu Y   ",10.1371/journal.pone.0172784
d4d7776b-93ce-43d4-a9b4-4278088aa35f,Effects of Toll-Like Receptor 4 Antagonists Against Cerebral Vasospasm After Experimental Subarachnoid Hemorrhage in Mice,2017,"Kawakita F, Fujimoto M, Liu L, Nakano F, Nakatsuka Y, Suzuki H   ",10.1007/s12035-016-0178-7
aadfb399-9468-4126-8bac-95f20fb9bf16,Endothelial nitric oxide synthase mediates endogenous protection against subarachnoid hemorrhage-induced cerebral vasospasm,2011, ,10.1161/STR.0b013e3182074d88
971d93e5-4b91-4cdc-884d-1069d7400db7,Endovascular Perforation Murine Model of Subarachnoid Hemorrhage,2016,"Du GJ, Lu G, Zheng ZY, Poon WS, Wong KC   ",10.1007/978-3-319-18497-5_14
8e6403cb-dbe9-4cb4-b5bc-e4b065d4cadb,Endovascular perforation subarachnoid hemorrhage fails to cause Morris water maze deficits in the mouse,2014,"Milner E, Holtzman JC, Friess S, Hartman RE, Brody DL, Han BH, Zipfel GJ   ",10.1038/jcbfm.2014.108
e33eb38a-5a1a-40e4-84ca-6f128ad7976a,Experimental subarachnoid hemorrhage: cerebral blood flow and brain metabolism during the acute phase in three different models in the rat,2004,Svendgaard NA Prunell GF Mathiesen T,10.1227/01.neu.0000103670.09687.7a
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,Evaluation of a filament perforation model for mouse subarachnoid hemorrhage using 7.0 Tesla MRI,2016,"Muroi C, Kashiwagi Y, Rokugawa T, Tonomura M, Obata A, Nevzati E, Tsuboi A, Okuchi K, Mishima K, Abe K, Fujioka M   ",10.1016/j.jocn.2015.10.045
412dbcf1-4d1c-4e38-963c-58efe5e00103,"Experimental subarachnoid hemorrhage: subarachnoid blood volume, mortality rate, neuronal death, cerebral blood flow, and perfusion pressure in three different rat models",2003,"Prunell GF, Mathiesen T, Diemer NH, Svendgaard NA   ",10.1097/00006123-200301000-00022
dadead51-78b0-43bc-bf78-ca1a379d18ee,Extracellular Mitochondria in Cerebrospinal Fluid and Neurological Recovery After Subarachnoid Hemorrhage,2017,"Chou SH, Lan J, Esposito E, Ning M, Balaj L, Ji X, Lo EH, Hayakawa K   ",10.1161/STROKEAHA.117.017758
964bb6c3-f2fa-49e9-b565-755b99209c10,FGF-2 Attenuates Neuronal Apoptosis via FGFR3/PI3k/Akt Signaling Pathway After Subarachnoid Hemorrhage,2019,"Okada T, Enkhjargal B, Travis ZD, Ocak U, Tang J, Suzuki H, Zhang JH   ",10.1007/s12035-019-01668-9
97659d66-d70c-45ee-a69d-79756b84ae17,Fibrinogen Chains Intrinsic to the Brain,2019,"Golanov EV, Sharpe MA, Regnier-Golanov AS, Del Zoppo GJ, Baskin DS, Britz GW   ",10.3389/fnins.2019.00541
c2fed96c-4b03-4ae9-907f-a7f58202e6fa,Filament perforation model for mouse subarachnoid hemorrhage: surgical-technical considerations,2014,"Muroi C, Fujioka M, Okuchi K, Fandino J, Keller E, Sakamoto Y, Mishima K, Iwasaki K, Fujiwara M   ",10.3109/02688697.2014.918579
c23a7e7d-4e8e-49dc-b931-0f1ec6d3adec,Fingolimod administration improves neurological functions of mice with subarachnoid hemorrhage,2020,"Wang Y, Zhou S, Han Z, Yin D, Luo Y, Tian Y, Wang Z, Zhang J   ",10.1016/j.neulet.2020.135250
6b38ffd9-fc5e-4427-a943-08c877150e58,Fluoxetine attenuates neuroinflammation in early brain injury after subarachnoid hemorrhage: a possible role for the regulation of TLR4/MyD88/NF-κB signaling pathway,2018,"Liu FY, Cai J, Wang C, Ruan W, Guan GP, Pan HZ, Li JR, Qian C, Chen JS, Wang L, Chen G   ",10.1186/s12974-018-1388-x
cf268bde-b751-4bf6-918c-342dd1dbe31a,Heat shock protein expression in cerebral vessels after subarachnoid hemorrhage,2002,"Macomson SD, Brophy CM, Miller W, Harris VA, Shaver EG   ",10.1097/00006123-200207000-00029
5020e5dc-4797-4b7c-8fcc-a4e52a6b4547,Hippocampal Transcriptome Changes After Subarachnoid Hemorrhage in Mice,2021, ,10.3389/fneur.2021.691631
cd65d9d6-fce5-4465-b0f9-daedb9885113,Hydrogen gas inhalation improves delayed brain injury by alleviating early brain injury after experimental subarachnoid hemorrhage,2020,"Kumagai K, Toyooka T, Takeuchi S, Otani N, Wada K, Tomiyama A, Mori K   ",10.1038/s41598-020-69028-5
40090fa0-6946-4076-ba23-9c5b699a5c6e,Immune response mediates the cardiac damage after subarachnoid hemorrhage,2020,"Li R, Yuan Q, Su Y, Chopp M, Yan T, Chen J   ",10.1016/j.expneurol.2019.113093
5d5615cf-60d2-46bc-ab06-898801134930,Impaired Cerebral Autoregulation After Subarachnoid Hemorrhage: A Quantitative Assessment Using a Mouse Model,2021,"Koide M, Ferris HR, Nelson MT, Wellman GC   ",10.3389/fphys.2021.688468
d0f66db3-7dd4-42c9-a8b6-3082486500bb,In vivo observation of cerebral microcirculation after experimental subarachnoid hemorrhage in mice,2018,"Yang XM, Chen XH, Lu JF, Zhou CM, Han JY, Chen CH   ",10.4103/1673-5374.228728
5b8bc915-088a-4af0-90ed-78367692411b,Influence of sex and hormonal status on initial impact and neurocognitive outcome after subarachnoid haemorrhage in rats,2019,"Kagerbauer SM, Kadera V, Gordan LM, Blobner M, Török E, Schmid S, Podtschaske AH, Jungwirth B   ",10.1016/j.bbr.2019.01.050
61702aff-9b39-42fe-8c00-c62c2bff42ae,Inhibition of AMPA (alpha-Amino-3-Hydroxy-5-Methyl-4-Isoxazole Propionate) Receptor Reduces Acute Blood-Brain Barrier Disruption After Subarachnoid Hemorrhage in Mice,2021, ,10.1007/s12975-021-00934-0
487d51c4-eb75-4458-bfb2-e038b743a4ce,Integrated analysis of gait parameters and gene expression profiles in a murine model of subarachnoid hemorrhage,2021,"Zheng ZY, Lu G, Xiong ZQ, Leung CK, Su XW, Li T, Poon WS, Chan WY, Wong GKC   ",10.1111/gbb.12728
5c1fce8b-9127-4afc-9c0b-6c0441e02ad5,Intranasal Insulin Treatment Attenuates Metabolic Distress and Early Brain Injury After Subarachnoid Hemorrhage in Mice,2021,"Xu LB, Huang HD, Zhao M, Zhu GC, Xu Z   ",10.1007/s12028-020-01011-4
e93bcb1c-7d8a-4dbd-b465-696b2bd97c95,Inversion of neurovascular coupling after subarachnoid hemorrhage in vivo,2017,"Balbi M, Koide M, Wellman GC, Plesnila N   ",10.1177/0271678X16686595
7e7d3286-31d1-4376-8373-8445a381b577,Irisin Contributes to Neuroprotection by Promoting Mitochondrial Biogenesis After Experimental Subarachnoid Hemorrhage,2021, ,10.3389/fnagi.2021.640215
93987f7b-2f77-46a5-80f0-4a034069ff11,Isoflurane attenuates blood-brain barrier disruption in ipsilateral hemisphere after subarachnoid hemorrhage in mice,2012,"Altay O, Suzuki H, Hasegawa Y, Caner B, Krafft PR, Fujii M, Tang J, Zhang JH   ",10.1161/STROKEAHA.112.661728
d2fe8fe1-a64d-4544-99ff-59aa54278b31,Isoflurane delays the development of early brain injury after subarachnoid hemorrhage through sphingosine-related pathway activation in mice,2012,"Altay O, Hasegawa Y, Sherchan P, Suzuki H, Khatibi NH, Tang J, Zhang JH   ",10.1097/CCM.0b013e3182474bc1
851551c4-13a0-4b8f-8752-a3bd150fdbc1,Isoflurane on brain inflammation,2014,"Altay O, Suzuki H, Hasegawa Y, Ostrowski RP, Tang J, Zhang JH   ",10.1016/j.nbd.2013.09.016
f4d20fee-0ab6-45c6-a445-10f225f19e49,Leukocyte plugging and cortical capillary flow after subarachnoid hemorrhage,2016,"Ishikawa M, Kajimura M, Morikawa T, Tsukada K, Tsuji T, Kusaka G, Tanaka Y, Suematsu M   ",10.1007/s00701-016-2792-6
6e8bdf4f-1be9-475c-8883-4bbbb6310b66,Long-term impairment of neurovascular coupling following experimental subarachnoid hemorrhage,2020,"Balbi M, Vega MJ, Lourbopoulos A, Terpolilli NA, Plesnila N   ",10.1177/0271678X19863021
06ef88df-9f8d-4e1b-a4cf-cd89c4739518,Longitudinal imaging and evaluation of SAH-associated cerebral large artery vasospasm in mice using micro-CT and angiography,2020,"Weyer V, Maros ME, Kronfeld A, Kirschner S, Groden C, Sommer C, Tanyildizi Y, Kramer M, Brockmann MA   ",10.1177/0271678X19887052
e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,Melatonin Attenuates Early Brain Injury via the Melatonin Receptor/Sirt1/NF-κB Signaling Pathway Following Subarachnoid Hemorrhage in Mice,2017,"Zhao L, Liu H, Yue L, Zhang J, Li X, Wang B, Lin Y, Qu Y   ",10.1007/s12035-016-9776-7
1bfd0eca-bfff-4a92-874f-4fc7d66733ea,Melatonin attenuates inflammatory response-induced brain edema in early brain injury following a subarachnoid hemorrhage: a possible role for the regulation of pro-inflammatory cytokines,2014,"Chen J, Chen G, Li J, Qian C, Mo H, Gu C, Yan F, Yan W, Wang L   ",10.1111/jpi.12173
2ea6da77-9ff3-41a6-9ad5-a46de336416b,Melatonin Attenuates White Matter Injury via Reducing Oligodendrocyte Apoptosis After Subarachnoid Hemorrhage in Mice,2020,"Liu D, Dong Y, Li G, Zou Z, Hao G, Feng H, Pan P, Liang G   ",10.5137/1019-5149.JTN.27986-19.3
373b6549-03b3-480f-9f33-8942859b1430,Mesenchymal stem cells alleviate the early brain injury of subarachnoid hemorrhage partly by suppression of Notch1-dependent neuroinflammation: involvement of Botch,2019,"Liu W, Li R, Yin J, Guo S, Chen Y, Fan H, Li G, Li Z, Li X, Zhang X, He X, Duan C   ",10.1186/s12974-019-1396-5
c659ca3a-3eb2-4209-8a0e-29ff01992d5e,Methylene blue attenuates neuroinflammation after subarachnoid hemorrhage in rats through the Akt/GSK-3β/MEF2D signaling pathway,2017,"Xu H, Li J, Wang Z, Feng M, Shen Y, Cao S, Li T, Peng Y, Fan L, Chen J, Gu C, Yan F, Wang L, Chen G   ",10.1016/j.bbi.2017.04.020
f0846ef5-5cfe-4481-a655-5b3b63d47e49,Microthrombi Correlates With Infarction and Delayed Neurological Deficits After Subarachnoid Hemorrhage in Mice,2020,"Dienel A, Ammassam Veettil R, Hong SH, Matsumura K, Kumar T P, Yan Y, Blackburn SL, Ballester LY, Marrelli SP, McCullough LD, McBride DW   ",10.1161/STROKEAHA.120.029753
3b028a2e-bee1-4199-b86d-22736264a99b,Minimal Long-Term Neurobehavioral Impairments after Endovascular Perforation Subarachnoid Hemorrhage in Mice,2017,"Fanizzi C, Sauerbeck AD, Gangolli M, Zipfel GJ, Brody DL, Kummer TT   ",10.1038/s41598-017-07701-y
4963aee7-7740-484e-a4bc-1ca2d218cacd,Modified Citrus Pectin Prevents Blood-Brain Barrier Disruption in Mouse Subarachnoid Hemorrhage by Inhibiting Galectin-3,2018,"Nishikawa H, Liu L, Nakano F, Kawakita F, Kanamaru H, Nakatsuka Y, Okada T, Suzuki H   ",10.1161/STROKEAHA.118.021757
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,Morphological Characteristics of Neuronal Death After Experimental Subarachnoid Hemorrhage in Mice Using Double Immunoenzymatic Technique,2019,"Nakano F, Liu L, Kawakita F, Kanamaru H, Nakatsuka Y, Nishikawa H, Okada T, Shiba M, Suzuki H   ",10.1369/0022155419878181
a99b323e-49a7-4cf8-8a4f-88042aa2da54,Mouse model of subarachnoid hemorrhage: technical note on the filament perforation model,2015,"Muroi C, Fujioka M, Marbacher S, Fandino J, Keller E, Iwasaki K, Mishima K   ",10.1007/978-3-319-04981-6_54
dee61796-1b46-4e5f-9755-a3af31005637,MRI-based in vivo assessment of early cerebral infarction in a mouse filament perforation model of subarachnoid hemorrhage,2017,"Sasaki K, Mutoh T, Nakamura K, Kojima I, Taki Y, Suarez JI, Ishikawa T   ",10.1016/j.neulet.2017.05.047
ee4e3b80-0173-4f27-94fa-6771c9de6919,Naringenin reduces early brain injury in subarachnoid hemorrhage (SAH) mice: The role of the AMPK/SIRT3 signaling pathway,2020, ,10.1016/j.jff.2020.104043
6c902fde-2e41-4b60-a56b-6b201698d4fa,Neurocardiac protection with milrinone for restoring acute cerebral hypoperfusion and delayed ischemic injury after experimental subarachnoid hemorrhage,2017,"Mutoh T, Mutoh T, Sasaki K, Nakamura K, Tatewaki Y, Ishikawa T, Taki Y   ",10.1016/j.neulet.2017.01.008
c79c8d5d-ff88-4669-9176-6574ded0e836,"Neuroprotective efficacy from a lipophilic redox-modulating Mn(III) N-Hexylpyridylporphyrin, MnTnHex-2-PyP: rodent models of ischemic stroke and subarachnoid hemorrhage",2011,"Sheng H, Spasojevic I, Tse HM, Jung JY, Hong J, Zhang Z, Piganelli JD, Batinic-Haberle I, Warner DS   ",10.1124/jpet.110.176701
6ba7f978-80f7-4460-a0d9-0f8042112225,New grading system based on magnetic resonance imaging in a mouse model of subarachnoid hemorrhage,2015,"Egashira Y, Shishido H, Hua Y, Keep RF, Xi G   ",10.1161/STROKEAHA.114.007834
49221963-9cb6-4a25-8dae-48290990747d,Oxidative stress after subarachnoid hemorrhage in gp91phox knockout mice,2007,"Liu S, Tang J, Ostrowski RP, Titova E, Monroe C, Chen W, Lo W, Martin R, Zhang JH   ",10.1017/s031716710000682x
c8fa5ccc-6764-4774-8144-4734840ab696,Nexilin Regulates Oligodendrocyte Progenitor Cell Migration and Remyelination and Is Negatively Regulated by Protease-Activated Receptor 1/Ras-Proximate-1 Signaling Following Subarachnoid Hemorrhage,2018,"Li Q, Zhao H, Pan P, Ru X, Zuo S, Qu J, Liao B, Chen Y, Ruan H, Feng H   ",10.3389/fneur.2018.00282
0ded05a4-7ae0-4e17-896d-79b4d88fcc4a,Propofol Attenuates Early Brain Injury After Subarachnoid Hemorrhage in Rats,2015,"Shi SS, Zhang HB, Wang CH, Yang WZ, Liang RS, Chen Y, Tu XK   ",10.1007/s12031-015-0634-2
ba1408fa-2a22-43ec-a527-33d831867e53,p53-induced uncoupling expression of aquaporin-4 and inwardly rectifying K+ 4.1 channels in cytotoxic edema after subarachnoid hemorrhage,2012,"Yan JH, Khatibi NH, Han HB, Hu Q, Chen CH, Li L, Yang XM, Zhou CM   ",10.1111/j.1755-5949.2012.00299.x
974d18e0-8d39-41ce-a336-fd64114c466d,Protective effects of thrombomodulin on microvascular permeability after subarachnoid hemorrhage in mouse model,2015,"Xu T, Zhang WG, Sun J, Zhang Y, Lu JF, Han HB, Zhou CM, Yan JH   ",10.1016/j.neuroscience.2015.04.058
fc3d7ec1-c658-42a3-a608-3a280e018a1f,Protective effects of thrombomodulin on blood brain barrier after subarachnoid hemorrhage in mouse model,2014, ,
8223549f-1acf-46d4-9759-835d99ed1498,Protocol for the induction of subarachnoid hemorrhage in mice by perforation of the Circle of Willis with an endovascular filament,2014,Plesnila N Bühler D Schüller K,10.1007/s12975-014-0366-6
5c34fd68-f0d0-46e3-8a51-384e43cf1e0f,Rat endovascular perforation model,2014,Sehba FA   ,10.1007/s12975-014-0368-4
dff194e1-9f8b-432c-acdb-0f93449e840e,Role of c-Jun N-terminal kinase in early brain injury after subarachnoid hemorrhage,2007,"Yatsushige H, Ostrowski RP, Tsubokawa T, Colohan A, Zhang JH   ",10.1002/jnr.21281
bbc2db36-0240-46ac-9978-c8758edce6b6,Role of interleukin-1beta in early brain injury after subarachnoid hemorrhage in mice,2009,"Sozen T, Tsuchiyama R, Hasegawa Y, Suzuki H, Jadhav V, Nishizawa S, Zhang JH   ",10.1161/STROKEAHA.109.549592
4e4b6c00-fa80-49f8-9258-3fb29138a43b,Role of Periostin in Early Brain Injury After Subarachnoid Hemorrhage in Mice,2017,"Liu L, Kawakita F, Fujimoto M, Nakano F, Imanaka-Yoshida K, Yoshida T, Suzuki H   ",10.1161/STROKEAHA.117.016629
ec442e33-ed03-4752-b873-f45d3fad71de,Role of pial microvasospasms and leukocyte plugging for parenchymal perfusion after subarachnoid hemorrhage assessed by in vivo multi-photon microscopy,2021, ,10.3390/ijms22168444
ee082119-c743-475e-af5f-27fef5150192,Role of the endothelium NO-Synthase in early brain injury after experimental subarachnoid hemorrhage,2017, ,10.1177/0271678X17695982
cd39b42d-8f50-4857-985e-2b000084d1f4,Selective Toll-Like Receptor 4 Antagonists Prevent Acute Blood-Brain Barrier Disruption After Subarachnoid Hemorrhage in Mice,2019,"Okada T, Kawakita F, Nishikawa H, Nakano F, Liu L, Suzuki H   ",10.1007/s12035-018-1145-2
85471734-be40-44d0-b54e-216a1aeb6214,Sevoflurane and Desflurane Exposures Following Aneurysmal Subarachnoid Hemorrhage Confer Multifaceted Protection against Delayed Cerebral Ischemia,2021, ,10.3390/biomedicines9070820
f99c42c3-5f02-4652-bb92-7fca3a0b2588,Simvastatin increases endothelial nitric oxide synthase and ameliorates cerebral vasospasm resulting from subarachnoid hemorrhage,2002,"McGirt MJ, Lynch JR, Parra A, Sheng H, Pearlstein RD, Laskowitz DT, Pelligrino DA, Warner DS   ",10.1161/01.str.0000038986.68044.39
5af257e3-1c25-4e41-9d7b-4e017fb5b981,Single clip: An improvement of the filament-perforation mouse subarachnoid haemorrhage model,2019,"Peng J, Wu Y, Pang J, Sun X, Chen L, Chen Y, Tang J, Zhang JH, Jiang Y   ",10.1080/02699052.2018.1531310
8c92b455-77b0-4096-b6ee-a99734f16bfc,SIRT1 mediates hypoxic preconditioning induced attenuation of neurovascular dysfunction following subarachnoid hemorrhage,2020,"Vellimana AK, Aum DJ, Diwan D, Clarke JV, Nelson JW, Lawrence M, Han BH, Gidday JM, Zipfel GJ   ",10.1016/j.expneurol.2020.113484
